bucket,p_mean,obs,n
"(0.121, 0.231]",0.2036325986050135,0.20899470899470898,378
"(0.231, 0.251]",0.24206989802735693,0.2546419098143236,377
"(0.251, 0.264]",0.25877805565932643,0.24074074074074073,378
"(0.264, 0.273]",0.26906905415377913,0.259946949602122,377
"(0.273, 0.28]",0.2764763182770878,0.24867724867724866,378
"(0.28, 0.285]",0.28226520850427095,0.29708222811671087,377
"(0.285, 0.29]",0.2877093195617838,0.33156498673740054,377
"(0.29, 0.296]",0.2929064631914436,0.2777777777777778,378
"(0.296, 0.305]",0.2998018969761096,0.2891246684350133,377
"(0.305, 0.357]",0.3139150749333086,0.2962962962962963,378
