Season,H,D,A,Total,H_share,D_share,A_share
2012/2013,97,63,80,240,0.4041666666666667,0.2625,0.3333333333333333
2013/2014,133,89,74,296,0.44932432432432434,0.30067567567567566,0.25
2014/2015,136,80,80,296,0.4594594594594595,0.2702702702702703,0.2702702702702703
2015/2016,120,89,87,296,0.40540540540540543,0.30067567567567566,0.2939189189189189
2016/2017,133,75,88,296,0.44932432432432434,0.2533783783783784,0.2972972972972973
2017/2018,130,84,82,296,0.4391891891891892,0.28378378378378377,0.27702702702702703
2018/2019,133,72,91,296,0.44932432432432434,0.24324324324324326,0.30743243243243246
2019/2020,142,69,85,296,0.4797297297297297,0.23310810810810811,0.28716216216216217
2020/2021,98,66,76,240,0.4083333333333333,0.275,0.31666666666666665
2021/2022,135,84,87,306,0.4411764705882353,0.27450980392156865,0.28431372549019607
2022/2023,129,81,96,306,0.4215686274509804,0.2647058823529412,0.3137254901960784
2023/2024,133,93,80,306,0.434640522875817,0.30392156862745096,0.26143790849673204
2024/2025,137,77,92,306,0.4477124183006536,0.25163398692810457,0.3006535947712418
